application_id,amount,tier_raw,tier_category,utm_source,channel_grouping,current_portfolio_display,portfolio_count_los,los_portfolios_list,estimated_start_date,estimated_underwriting_date,estimated_days_pending,application_age_category,priority_level,blocking_issue_primary,blocking_issue_secondary,verification_status_estimated,fraud_flag,automation_failures_estimated,customer_action_required,partner_capacity_issue,system_stuck_flag,business_impact,resolution_complexity,immediate_action_required,notes
3017196,40000,1,T1,CREDITKARMA_LIGHTBOX,Affiliate Non-API,Not Yet Allocated,1,"Ocrolus",2025-08-06,2025-08-07,1,Current,CRITICAL,Income Verification,Portfolio Allocation,Stuck Single Portfolio,FALSE,Income Verification Only,None,FALSE,TRUE,Highest Value T1 Stuck,Critical,System Override,"Highest value T1 stuck in single Ocrolus portfolio - system error"
3015042,12000,2,T2,CREDITKARMA_LIGHTBOX,Affiliate Non-API,Not Yet Allocated,4,"Document Review, Ocrolus, Pending Applicant Response, Review",2025-08-06,2025-08-07,1,Current,MEDIUM,Manual Review,Document Collection,Under Review,FALSE,Income + Documents + Manual,Document Upload,FALSE,FALSE,T2 Under Review,Medium,Review Completion + Doc Collection,"T2 in manual review with pending documents"
3016106,20500,3,T3,CREDITKARMA_LIGHTBOX,Affiliate Non-API,Not Yet Allocated,3,"Complete, Document Review, Ocrolus",2025-08-06,2025-08-07,1,Current,MEDIUM,Status Inconsistency,Portfolio Allocation,Complete but Not Allocated,FALSE,Status Inconsistency,None,FALSE,FALSE,T3 Status Inconsistency,Medium,Status Resolution + Allocation,"Marked 'Complete' but not allocated - status error"
3012386,30000,3,T3,CREDITKARMA_LIGHTBOX,Affiliate Non-API,Not Yet Allocated,2,"Ocrolus, Processing",2025-08-05,2025-08-07,2,Current,MEDIUM,Processing Queue,Portfolio Allocation,In Processing,FALSE,Income Verification,None,FALSE,FALSE,High Value T3,Medium,Processing Completion + Allocation,"High-value T3 in processing queue"
3017586,15000,4,T4,CREDITKARMA_LIGHTBOX,Affiliate Non-API,Not Yet Allocated,0,"None Found",2025-08-06,2025-08-07,1,Current,HIGH,No Portfolios Found,System Error,No Portfolio Data,FALSE,No Portfolio Assignment,None,FALSE,TRUE,T4 No Portfolio Data,High,System Investigation,"No portfolio data found - potential system error"
3010286,17000,4,T4,CREDITKARMA_LIGHTBOX,Affiliate Non-API,Not Yet Allocated,0,"None Found",2025-08-05,2025-08-07,2,Current,HIGH,No Portfolios Found,System Error,No Portfolio Data,FALSE,No Portfolio Assignment,None,FALSE,TRUE,T4 No Portfolio Data,High,System Investigation,"No portfolio data found - potential system error"
3017275,34500,1,T1,CREDITKARMA_LIGHTBOX,Affiliate Non-API,First Tech FCU,0,"None Found",2025-08-06,2025-08-07,1,Current,HIGH,No Portfolio Data,Partner Assignment,Allocated but No Portfolio Data,FALSE,No Portfolio Assignment,None,TRUE,TRUE,T1 First Tech No Portfolio Data,High,System Investigation,"Allocated to First Tech FCU but no LOS portfolio data"
3016050,30000,2,T2,CREDITKARMA_LIGHTBOX,Affiliate Non-API,First Tech FCU,0,"None Found",2025-08-06,2025-08-07,1,Current,HIGH,No Portfolio Data,Partner Assignment,Allocated but No Portfolio Data,FALSE,No Portfolio Assignment,None,TRUE,TRUE,T2 First Tech No Portfolio Data,High,System Investigation,"Allocated to First Tech FCU but no LOS portfolio data"
3017833,33000,2,T2,CREDITKARMA_LIGHTBOX,Affiliate Non-API,Michigan State University FCU,0,"None Found",2025-08-06,2025-08-07,1,Current,HIGH,No Portfolio Data,Partner Assignment,Allocated but No Portfolio Data,FALSE,No Portfolio Assignment,None,TRUE,TRUE,T2 Michigan State No Portfolio Data,High,System Investigation,"Allocated to Michigan State FCU but no LOS portfolio data"
3016038,13000,2,T2,TU,Direct Mail,Not Yet Allocated,0,"None Found",2025-08-06,2025-08-07,1,Current,MEDIUM,No Portfolios Found,System Error,No Portfolio Data,FALSE,No Portfolio Assignment,None,FALSE,TRUE,T2 Direct Mail No Portfolio Data,Medium,System Investigation,"Direct Mail T2 with no portfolio data"
2927052,40000,2,T2,DM_EMAIL,Email DM,First Tech FCU,1,"GIACT",2025-07-01,2025-08-07,37,Old,CRITICAL,Bank Verification,System Stuck,Failed GIACT for 30+ days,FALSE,GIACT Failure,None,TRUE,TRUE,Highest Value Old App,Critical,Manual Override,"Highest value old application stuck in GIACT bank verification for over 30 days"
3013953,10000,3,T3,GOOGLE,Paid Search,Not Yet Allocated,0,"None Found",2025-08-05,2025-08-07,2,Current,MEDIUM,No Portfolios Found,Portfolio Allocation,No Portfolio Data,FALSE,No Portfolio Assignment,None,FALSE,TRUE,T3 Paid Search No Portfolio Data,Medium,System Investigation,"Paid Search T3 with no portfolio data"
3015476,17000,1,T1,GOOGLE,Paid Search,First Tech FCU,0,"None Found",2025-08-06,2025-08-07,1,Current,HIGH,No Portfolio Data,Partner Assignment,Allocated but No Portfolio Data,FALSE,No Portfolio Assignment,None,TRUE,TRUE,T1 First Tech No Portfolio Data,High,System Investigation,"T1 allocated to First Tech FCU but no LOS portfolio data"
2955104,15000,3,T3,GOOGLE,Paid Search,First Tech FCU,0,"None Found",2025-07-01,2025-08-07,37,Old,HIGH,No Portfolio Data,System Stuck,Old App No Portfolio Data,FALSE,No Portfolio Assignment,None,TRUE,TRUE,Old App No Portfolio Data,High,System Investigation,"Old T3 application with no portfolio data - system error"
2993310,20000,1,T1,None,Unattributed,Not Yet Allocated,0,"None Found",2025-07-25,2025-08-07,13,Old,HIGH,No Portfolios Found,Portfolio Allocation,No Portfolio Data,FALSE,No Portfolio Assignment,None,FALSE,TRUE,Old T1 No Portfolio Data,High,System Investigation,"Old T1 with no attribution and no portfolio data"
3018044,40000,1,T1,None,Unattributed,Not Yet Allocated,0,"None Found",2025-08-07,2025-08-07,0,Current,CRITICAL,No Portfolios Found,System Error,No Portfolio Data Same Day,FALSE,No Portfolio Assignment,None,FALSE,TRUE,Highest Value Same Day No Portfolio,Critical,Immediate System Investigation,"Highest value T1 same-day application with no portfolio assignment - critical system error"
3011226,35000,2,T2,None,Unattributed,Not Yet Allocated,0,"None Found",2025-08-05,2025-08-07,2,Current,HIGH,No Portfolios Found,Portfolio Allocation,No Portfolio Data,FALSE,No Portfolio Assignment,None,FALSE,TRUE,High Value T2 No Portfolio Data,High,System Investigation,"High-value T2 unattributed with no portfolio data"
3009787,40000,2,T2,None,Unattributed,Not Yet Allocated,0,"None Found",2025-08-04,2025-08-07,3,Current,CRITICAL,No Portfolios Found,Portfolio Allocation,No Portfolio Data,FALSE,No Portfolio Assignment,None,FALSE,TRUE,Highest Value T2 No Portfolio Data,Critical,System Investigation,"Highest value T2 unattributed with no portfolio data"
3012842,36000,4,T4,None,Unattributed,Not Yet Allocated,0,"None Found",2025-08-05,2025-08-07,2,Current,HIGH,No Portfolios Found,Portfolio Allocation,No Portfolio Data,FALSE,No Portfolio Assignment,None,FALSE,TRUE,High Value T4 No Portfolio Data,High,System Investigation,"High-value T4 unattributed with no portfolio data"
3015898,10000,5,T5,None,Unattributed,Not Yet Allocated,0,"None Found",2025-08-06,2025-08-07,1,Current,MEDIUM,No Portfolios Found,Portfolio Allocation,No Portfolio Data,FALSE,No Portfolio Assignment,None,FALSE,TRUE,T5 No Portfolio Data,Medium,System Investigation,"T5 unattributed with no portfolio data"
2833697,5000,5,T5,None,Unattributed,Cross River Bank Fortress,1,"Document Review",2025-06-01,2025-08-07,67,Very Old,HIGH,Document Review,System Stuck,Stuck 60+ Days Document Review,FALSE,Document Review Failure,None,FALSE,TRUE,Old T5 Cross River Stuck,High,Manual Override,"Very old T5 stuck in document review at Cross River for 60+ days"
3018403,14000,2,T2,None,Unattributed,First Tech FCU,0,"None Found",2025-08-07,2025-08-07,0,Current,MEDIUM,No Portfolio Data,Partner Assignment,Same Day No Portfolio Data,FALSE,No Portfolio Assignment,None,TRUE,TRUE,T2 First Tech Same Day No Portfolio,Medium,System Investigation,"Same-day T2 allocated to First Tech but no LOS portfolio data"
3009694,20000,2,T2,None,Unattributed,First Tech FCU,0,"None Found",2025-08-04,2025-08-07,3,Current,MEDIUM,No Portfolio Data,Partner Assignment,Allocated but No Portfolio Data,FALSE,No Portfolio Assignment,None,TRUE,TRUE,T2 First Tech No Portfolio Data,Medium,System Investigation,"T2 allocated to First Tech FCU but no LOS portfolio data"
2129780,30000,2,T2,None,Unattributed,First Tech FCU,1,"Ocrolus",2024-10-01,2025-08-07,310,Very Old,CRITICAL,Income Verification,System Stuck,Stuck 300+ Days Ocrolus Only,FALSE,Income Verification Failure,None,TRUE,TRUE,Oldest App Critical,Critical,Immediate Manual Override,"OLDEST APPLICATION - stuck in Ocrolus income verification for 300+ days"
3018148,25000,2,T2,None,Unattributed,USAlliance Federal Credit Union,0,"None Found",2025-08-07,2025-08-07,0,Current,MEDIUM,No Portfolio Data,Partner Assignment,Same Day No Portfolio Data,FALSE,No Portfolio Assignment,None,TRUE,TRUE,T2 USAlliance Same Day No Portfolio,Medium,System Investigation,"Same-day T2 allocated to USAlliance but no LOS portfolio data"
3001929,15000,1,T1,CREDITKARMA_LIGHTBOX,Affiliate Non-API,Michigan State University FCU,0,"None Found",2025-08-01,2025-08-07,6,Recent,HIGH,No Portfolio Data,Partner Assignment,Allocated but No Portfolio Data,FALSE,No Portfolio Assignment,None,TRUE,TRUE,T1 Michigan State No Portfolio Data,High,System Investigation,"T1 allocated to Michigan State FCU but no LOS portfolio data"
